,targetId,userId,userName,cmtContent,time
0,2958213,472910,._4_83,贵当然配件的更好一点,2022-03-27
1,2955869,220523,duguqihang,目前我买雅阁的渠道 我看到XC40是21.95W<br>就是28.68W的四驱智行时尚版 7.7折<br>我心动了那么三秒,2022-03-18
2,2955842,82253,Xorothian,那还凑合,2022-03-18
3,2955811,457833,且歌且行,你应该叫大爷！沃尔沃是和大众一块比的吗？这么瞧不起人沃尔沃,2022-03-18
4,2955783,281823,robinsonwang21,孩子，去看看中保研奥迪Q5的A柱有没有撞变型。。。。。帕萨特都撞折断了。你装睡的话，当我没说。,2022-03-18
5,2955677,72232,我是海狼,大窝窝有钱就买它,2022-03-18
6,2955392,411336,18_4_1,都是有钱人了，还看什么沃尔沃啊，直接买麦坎啊,2022-03-17
7,2955108,329666,扬帆启航,优惠多少,2022-03-16
8,2954850,78594,10000,他家车不是都有较多的终端优惠么？,2022-03-15
9,2954842,371409,zxpanda0907,优惠完的xc40才是完全体,2022-03-15
10,2954772,220523,duguqihang,目前优惠下来 有个八折优惠,2022-03-15
11,2954727,6129,传说中的维托,领克不是一牌子啊，人家奥迪Q3卖着，也没说因为有大众途观而不降价。,2022-03-14
12,2954725,29028,黄花小伙子,跟同级卖的最好的X1和Q3比，XC40价格上更是没有一点优势，不过他也没办法定再低，再低领克没法卖了~,2022-03-14
13,2954670,282332,查拉图斯特拉,哥们，你能花上30万可选的没味道的车多了去了，去店里面实际坐坐又不收钱...,2022-03-14
14,2954641,471875,XCP徐志杭,XC40确实是台吸引人的车，性冷淡的设计风格即便是以2022年的目光来看都是可以的，内饰喜不喜欢倒是见仁见智了，不过个人感觉，这款车的售价会稍微高一点了。,2022-03-14
15,2954625,357855,小号手0539,横向比较,2022-03-14
16,2954619,59472,诺亚方舟66,实力不允许,2022-03-14
17,2954613,322862,tangbohudianzan,无可挑剔,2022-03-14
