,id,tid,content,liketimes,updated_at
0,159017,49244,4月21日在评论区随机抽两名用户送出“新出行限量版-激光雷达擦车毛巾”各一张,2,2022-04-18
1,159761,49244,期待G9早点上市,0,2022-04-19
2,159546,49244,希望价格不要超过40,0,2022-04-19
3,159410,49244,看着 真不错  不过G9的外观有点 受这个家族前脸的束缚了,0,2022-04-19
4,159373,49244,还是希望有6座啊，显然更实用！（顺便抽奖）,0,2022-04-19
5,159240,49244,新能源汽车就像手机，每一款发布刚面世的时候都很吸引人，只能说早买早享受吧。因为后面的会更好。,0,2022-04-19
6,159238,49244,五米的大五座，后排可以打球了,0,2022-04-19
7,159185,49244,"做个梦：外观中控审美深得我意{:眯眼看:}买买买！
梦醒后：看了看自己的钱包，对不起打扰了，下辈子我肯定买{:奸笑:}",0,2022-04-19
8,159162,49244,咦我记得之前不说回复过了 不配天地门了么 我记错了？,1,2022-04-19
9,159141,49244,G9还是很香的，车机好，价格适中，NGP经过验证，没有特别突出的缺点，作为XX品牌车主快被车机整经常骂街了,0,2022-04-19
10,157772,48968,大佬，问一下，创世版的地盘表现比老款有提升么，能否有效的抑制多余抖动,0,2022-04-15
11,157474,48968,辅助驾驶会跑偏吗？,0,2022-04-14
12,157301,48968,要是内饰好看一点就好了,0,2022-04-13
13,157053,48968,HUD是好东西，用过都说好,0,2022-04-13
14,157034,48968,这个车是单电机尊荣还是旗舰？,0,2022-04-13
15,157026,48968,汉EV715公里是NEDC续航！如果是CLTC续航，都会有标注（CLTC）的！,1,2022-04-20
16,157009,48968,高速超车性能如何？上了一百公里动力会不会不够用？,0,2022-04-13
17,157007,48968,选了棕色运动{:眯眼看:},0,2022-04-13
18,156994,48968,是顶配才能车头汉字标常亮吗？我看的顶配加选装包展车，开示廓灯就能常亮。,0,2022-04-13
19,156972,48968,辅助驾驶体验了吗，有改进吗,0,2022-04-13
20,159630,48909,只看内饰的话还以为是哪个德国老厂的百万豪车，做的真精致啊，太漂亮了,0,2022-04-19
21,159629,48909,细节做工不错，缝线、边缘打磨、缝隙都挺好，考虑40万的售价，物超所值啊,0,2022-04-19
22,159627,48909,原来方向盘的安检有震动反馈啊，我还一直担心触摸操控会不会不好用，是我多虑了,0,2022-04-19
23,159626,48909,这个色调的内饰看着真舒服，比纯白或者黑色的都要好看，有种温馨的感觉,0,2022-04-19
24,159625,48909,近距离看这四块大屏，那是真的大啊，多功能方向盘的按键有浅浅的凹陷，手感应该不错,0,2022-04-19
25,159586,48909,这个大黑边真实可以停航母模型了，这种带鱼屏的实际可用面积太小了，至今印象最深的还是拜腾的48寸超大屏幕,1,2022-04-19
26,159524,48909,自适应无线充，升降扬声器，运动中控大屏等运动结构技术领先制造商13728962933,0,2022-04-19
27,158989,48909,这内饰设计👍，各种细节很棒啊！还有特欣赏显示屏的UI，整体风格、色调、显示效果都很棒👍。之前还觉得L7定价40+是不是有些飘，目前看来，还是值回票价的。个人估计L7纯产品力是够作为爆款的，目前就内饰设计而言，同价位或高一倍左右都没有这效果（愚见😂）。大胆猜想：上汽背书，结合政府新能源导向，可能主攻行政商务用车，以取代A6L等。前景广阔啊！,1,2022-04-19
28,158971,48909,满满的科技感加上各种扎实的用料，感觉挺不错，评测写的也丰富通俗易懂，同样也希望上海疫情赶紧过去，大家都能复工复产！,0,2022-04-18
29,158970,48909,座舱布局是可以的我觉得，看起来材质也可以，就是这个方向盘我觉得怪怪的，整体的还可以。,0,2022-04-18
30,156319,48742,希望唐也可以选运动座椅，什么都只有汉有，太不公平了{:抽烟:},0,2022-04-11
31,156220,48742,感谢楼主分享{:加油:},0,2022-04-10
32,155936,48742,挑个错:“当低电量或大功率需求时会起发动机进入串联直驱模式或并联增程模式”,0,2022-04-09
33,155788,48742,还是三连杆吗。哎。期待下一代,0,2022-04-08
34,155748,48742,希望下次能测一下顶着限速开,0,2022-04-08
35,155721,48742,视频呢？,0,2022-04-08
36,155720,48742,前面写的尊荣版，图片怎么全是碳纤维呢？,0,2022-04-08
37,155715,48742,还是三连杆啊,0,2022-04-08
38,155710,48742,后排一体运动座椅也是全平的吗，还是中间座位会有些凸起？,0,2022-04-08
39,155682,48742,2022款唐dmi 除了配置，要是有汉的长度和轴距就好了，要不然第三排太尴尬了,0,2022-04-08
40,156307,48594,运作座椅真是错误的选择，汉之前以豪华商务定位更准确。智己L7本来是豪华智能，改成了运动驾控，哎,0,2022-04-11
41,156305,48594,新款汉ev的外观真是没老款好看,0,2022-04-11
